"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/acc/bin","transformer-2-w-sample-class-weighted - val/acc/bin__MIN","transformer-2-w-sample-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/acc/bin","transformer-2-w-sample-class-raw - val/acc/bin__MIN","transformer-2-w-sample-class-raw - val/acc/bin__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/acc/bin","transformer-2-w-class-raw - val/acc/bin__MIN","transformer-2-w-class-raw - val/acc/bin__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/acc/bin","transformer-2-w-class-weighted - val/acc/bin__MIN","transformer-2-w-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/acc/bin","transformer-2-w-sample-unnorm - val/acc/bin__MIN","transformer-2-w-sample-unnorm - val/acc/bin__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/acc/bin","transformer-2-w-sample - val/acc/bin__MIN","transformer-2-w-sample - val/acc/bin__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/acc/bin","transformer-2 - val/acc/bin__MIN","transformer-2 - val/acc/bin__MAX"
"21","22","22","22","0.6373029351234436","0.6373029351234436","0.6373029351234436","22","22","22","0.6068540215492249","0.6068540215492249","0.6068540215492249","22","22","22","0.661099910736084","0.661099910736084","0.661099910736084","22","22","22","0.6391711235046387","0.6391711235046387","0.6391711235046387","22","22","22","0.6400210857391357","0.6400210857391357","0.6400210857391357","22","22","22","0.6318128705024719","0.6318128705024719","0.6318128705024719","21","21","21","0.6538960933685303","0.6538960933685303","0.6538960933685303"
"22","23","23","23","0.6378447413444519","0.6378447413444519","0.6378447413444519","23","23","23","0.606805145740509","0.606805145740509","0.606805145740509","23","23","23","0.6449099183082581","0.6449099183082581","0.6449099183082581","23","23","23","0.6334429383277893","0.6334429383277893","0.6334429383277893","23","23","23","0.6138843894004822","0.6138843894004822","0.6138843894004822","23","23","23","0.5991824865341187","0.5991824865341187","0.5991824865341187","22","22","22","0.5885054469108582","0.5885054469108582","0.5885054469108582"
"23","24","24","24","0.6350551843643188","0.6350551843643188","0.6350551843643188","24","24","24","0.60659259557724","0.60659259557724","0.60659259557724","24","24","24","0.6481183171272278","0.6481183171272278","0.6481183171272278","24","24","24","0.6382060050964355","0.6382060050964355","0.6382060050964355","24","24","24","0.6427086591720581","0.6427086591720581","0.6427086591720581","24","24","24","0.6595865488052368","0.6595865488052368","0.6595865488052368","23","23","23","0.6413971185684204","0.6413971185684204","0.6413971185684204"
"24","25","25","25","0.639797568321228","0.639797568321228","0.639797568321228","25","25","25","0.606805145740509","0.606805145740509","0.606805145740509","25","25","25","0.6472848057746887","0.6472848057746887","0.6472848057746887","25","25","25","0.6302120685577393","0.6302120685577393","0.6302120685577393","25","25","25","0.6335565447807312","0.6335565447807312","0.6335565447807312","25","25","25","0.6428089141845703","0.6428089141845703","0.6428089141845703","24","24","24","0.6549156904220581","0.6549156904220581","0.6549156904220581"
"25","26","26","26","0.6364142894744873","0.6364142894744873","0.6364142894744873","26","26","26","0.607294499874115","0.607294499874115","0.607294499874115","26","26","26","0.644801914691925","0.644801914691925","0.644801914691925","26","26","26","0.6383743286132812","0.6383743286132812","0.6383743286132812","26","26","26","0.6239413619041443","0.6239413619041443","0.6239413619041443","26","26","26","0.6349589228630066","0.6349589228630066","0.6349589228630066","25","25","25","0.6345745325088501","0.6345745325088501","0.6345745325088501"
"26","27","27","27","0.6381208896636963","0.6381208896636963","0.6381208896636963","27","27","27","0.606805145740509","0.606805145740509","0.606805145740509","27","27","27","0.6325030326843262","0.6325030326843262","0.6325030326843262","27","27","27","0.6392520666122437","0.6392520666122437","0.6392520666122437","27","27","27","0.6305991411209106","0.6305991411209106","0.6305991411209106","27","27","27","0.636091411113739","0.636091411113739","0.636091411113739","26","26","26","0.6354113817214966","0.6354113817214966","0.6354113817214966"
"27","28","28","28","0.6329349875450134","0.6329349875450134","0.6329349875450134","28","28","28","0.6072245240211487","0.6072245240211487","0.6072245240211487","28","28","28","0.6576406359672546","0.6576406359672546","0.6576406359672546","28","28","28","0.6363619565963745","0.6363619565963745","0.6363619565963745","28","28","28","0.6347842812538147","0.6347842812538147","0.6347842812538147","28","28","28","0.6250251531600952","0.6250251531600952","0.6250251531600952","27","27","27","0.636438250541687","0.636438250541687","0.636438250541687"
"28","29","29","29","0.6405762434005737","0.6405762434005737","0.6405762434005737","29","29","29","0.6075445413589478","0.6075445413589478","0.6075445413589478","29","29","29","0.6557393074035645","0.6557393074035645","0.6557393074035645","29","29","29","0.6351608633995056","0.6351608633995056","0.6351608633995056","29","29","29","0.6365713477134705","0.6365713477134705","0.6365713477134705","29","29","29","0.6439240574836731","0.6439240574836731","0.6439240574836731","28","28","28","0.5996546745300293","0.5996546745300293","0.5996546745300293"
"29","30","30","30","0.6427054405212402","0.6427054405212402","0.6427054405212402","30","30","30","0.6073284149169922","0.6073284149169922","0.6073284149169922","30","30","30","0.6500716209411621","0.6500716209411621","0.6500716209411621","30","30","30","0.6344872713088989","0.6344872713088989","0.6344872713088989","30","30","30","0.6419615745544434","0.6419615745544434","0.6419615745544434","30","30","30","0.630946159362793","0.630946159362793","0.630946159362793","29","29","29","0.6426125764846802","0.6426125764846802","0.6426125764846802"
"30","31","31","31","0.6495001912117004","0.6495001912117004","0.6495001912117004","31","31","31","0.6073284149169922","0.6073284149169922","0.6073284149169922","31","31","31","0.6432955265045166","0.6432955265045166","0.6432955265045166","31","31","31","0.6402308940887451","0.6402308940887451","0.6402308940887451","31","31","31","0.6133321523666382","0.6133321523666382","0.6133321523666382","31","31","31","0.6220312714576721","0.6220312714576721","0.6220312714576721","30","30","30","0.6443262100219727","0.6443262100219727","0.6443262100219727"
