"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/f1","transformer-2-w-sample-class-weighted - val/f1__MIN","transformer-2-w-sample-class-weighted - val/f1__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/f1","transformer-2-w-sample-class-raw - val/f1__MIN","transformer-2-w-sample-class-raw - val/f1__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/f1","transformer-2-w-class-raw - val/f1__MIN","transformer-2-w-class-raw - val/f1__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/f1","transformer-2-w-class-weighted - val/f1__MIN","transformer-2-w-class-weighted - val/f1__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/f1","transformer-2-w-sample-unnorm - val/f1__MIN","transformer-2-w-sample-unnorm - val/f1__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/f1","transformer-2-w-sample - val/f1__MIN","transformer-2-w-sample - val/f1__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/f1","transformer-2 - val/f1__MIN","transformer-2 - val/f1__MAX"
"27","28","28","28","0.01819595880806446","0.01819595880806446","0.01819595880806446","28","28","28","0.16472457349300385","0.16472457349300385","0.16472457349300385","28","28","28","0.2599029839038849","0.2599029839038849","0.2599029839038849","28","28","28","0.005178279243409634","0.005178279243409634","0.005178279243409634","28","28","28","0.5907108783721924","0.5907108783721924","0.5907108783721924","28","28","28","0.590680718421936","0.590680718421936","0.590680718421936","27","27","27","0.5690163969993591","0.5690163969993591","0.5690163969993591"
"28","29","29","29","0.07475071400403976","0.07475071400403976","0.07475071400403976","29","29","29","0.16483674943447113","0.16483674943447113","0.16483674943447113","29","29","29","0.26549652218818665","0.26549652218818665","0.26549652218818665","29","29","29","0.004406413063406944","0.004406413063406944","0.004406413063406944","29","29","29","0.593080461025238","0.593080461025238","0.593080461025238","29","29","29","0.5944315791130066","0.5944315791130066","0.5944315791130066","28","28","28","0.5819275975227356","0.5819275975227356","0.5819275975227356"
"29","30","30","30","0.06135470047593117","0.06135470047593117","0.06135470047593117","30","30","30","0.16399236023426056","0.16399236023426056","0.16399236023426056","30","30","30","0.21938441693782806","0.21938441693782806","0.21938441693782806","30","30","30","0.04022698849439621","0.04022698849439621","0.04022698849439621","30","30","30","0.6025362610816956","0.6025362610816956","0.6025362610816956","30","30","30","0.6086798906326294","0.6086798906326294","0.6086798906326294","29","29","29","0.6344351172447205","0.6344351172447205","0.6344351172447205"
"30","31","31","31","0.1061800941824913","0.1061800941824913","0.1061800941824913","31","31","31","0.16399236023426056","0.16399236023426056","0.16399236023426056","31","31","31","0.18362168967723846","0.18362168967723846","0.18362168967723846","31","31","31","0.020075280219316483","0.020075280219316483","0.020075280219316483","31","31","31","0.5811027884483337","0.5811027884483337","0.5811027884483337","31","31","31","0.595808744430542","0.595808744430542","0.595808744430542","30","30","30","0.5921088457107544","0.5921088457107544","0.5921088457107544"
"31","32","32","32","0.13283061981201172","0.13283061981201172","0.13283061981201172","32","32","32","0.16399236023426056","0.16399236023426056","0.16399236023426056","32","32","32","0.3023260831832886","0.3023260831832886","0.3023260831832886","32","32","32","0.042085807770490646","0.042085807770490646","0.042085807770490646","32","32","32","0.5753715634346008","0.5753715634346008","0.5753715634346008","32","32","32","0.5788401961326599","0.5788401961326599","0.5788401961326599","31","31","31","0.6108539700508118","0.6108539700508118","0.6108539700508118"
"32","33","33","33","0.0019034199649468064","0.0019034199649468064","0.0019034199649468064","33","33","33","0.16451261937618256","0.16451261937618256","0.16451261937618256","33","33","33","0.19679860770702362","0.19679860770702362","0.19679860770702362","33","33","33","0.04909267649054527","0.04909267649054527","0.04909267649054527","33","33","33","0.6062184572219849","0.6062184572219849","0.6062184572219849","33","33","33","0.5982459187507629","0.5982459187507629","0.5982459187507629","32","32","32","0.6540043950080872","0.6540043950080872","0.6540043950080872"
"33","34","34","34","0.16264624893665314","0.16264624893665314","0.16264624893665314","34","34","34","0.16352838277816772","0.16352838277816772","0.16352838277816772","34","34","34","0.1909574717283249","0.1909574717283249","0.1909574717283249","34","34","34","0.02235129289329052","0.02235129289329052","0.02235129289329052","34","34","34","0.6170266270637512","0.6170266270637512","0.6170266270637512","34","34","34","0.5920472741127014","0.5920472741127014","0.5920472741127014","33","33","33","0.6078110933303833","0.6078110933303833","0.6078110933303833"
"34","35","35","35","0.1185096949338913","0.1185096949338913","0.1185096949338913","35","35","35","0.16352838277816772","0.16352838277816772","0.16352838277816772","35","35","35","0.28856363892555237","0.28856363892555237","0.28856363892555237","35","35","35","0.032707516103982925","0.032707516103982925","0.032707516103982925","35","35","35","0.5687130093574524","0.5687130093574524","0.5687130093574524","35","35","35","0.5610643029212952","0.5610643029212952","0.5610643029212952","34","34","34","0.6503942608833313","0.6503942608833313","0.6503942608833313"
"35","36","36","36","0.03965847194194794","0.03965847194194794","0.03965847194194794","36","36","36","0.16352838277816772","0.16352838277816772","0.16352838277816772","36","36","36","0.29060569405555725","0.29060569405555725","0.29060569405555725","36","36","36","0.02038046531379223","0.02038046531379223","0.02038046531379223","36","36","36","0.5699247121810913","0.5699247121810913","0.5699247121810913","36","36","36","0.6099886894226074","0.6099886894226074","0.6099886894226074","35","35","35","0.6439976096153259","0.6439976096153259","0.6439976096153259"
"36","37","37","37","0.03849491477012634","0.03849491477012634","0.03849491477012634","37","37","37","0.16413244605064392","0.16413244605064392","0.16413244605064392","37","37","37","0.3059086799621582","0.3059086799621582","0.3059086799621582","37","37","37","0.0013609589077532291","0.0013609589077532291","0.0013609589077532291","37","37","37","0.5927338004112244","0.5927338004112244","0.5927338004112244","37","37","37","0.5873646140098572","0.5873646140098572","0.5873646140098572","36","36","36","0.6267138123512268","0.6267138123512268","0.6267138123512268"
