"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/auc_w/ttH","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/auc_w/ttH","transformer-2-w-sample-class-raw - val/auc_w/ttH__MIN","transformer-2-w-sample-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/auc_w/ttH","transformer-2-w-class-raw - val/auc_w/ttH__MIN","transformer-2-w-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/auc_w/ttH","transformer-2-w-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/auc_w/ttH","transformer-2-w-sample-unnorm - val/auc_w/ttH__MIN","transformer-2-w-sample-unnorm - val/auc_w/ttH__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/auc_w/ttH","transformer-2-w-sample - val/auc_w/ttH__MIN","transformer-2-w-sample - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"21","22","22","22","0.5658649460212584","0.5658649460212584","0.5658649460212584","22","22","22","0.47859644850436145","0.47859644850436145","0.47859644850436145","22","22","22","0.7073391864090472","0.7073391864090472","0.7073391864090472","22","22","22","0.590902114727456","0.590902114727456","0.590902114727456","22","22","22","0.733263877264954","0.733263877264954","0.733263877264954","22","22","22","0.7378786208332937","0.7378786208332937","0.7378786208332937","21","21","21","0.7488543845889243","0.7488543845889243","0.7488543845889243"
"22","23","23","23","0.614591331870039","0.614591331870039","0.614591331870039","23","23","23","0.47836165554461224","0.47836165554461224","0.47836165554461224","23","23","23","0.6821550318397459","0.6821550318397459","0.6821550318397459","23","23","23","0.5704080731286185","0.5704080731286185","0.5704080731286185","23","23","23","0.7221670143567518","0.7221670143567518","0.7221670143567518","23","23","23","0.7213160098753455","0.7213160098753455","0.7213160098753455","22","22","22","0.7455423746549169","0.7455423746549169","0.7455423746549169"
"23","24","24","24","0.6088837552278716","0.6088837552278716","0.6088837552278716","24","24","24","0.4784585322125274","0.4784585322125274","0.4784585322125274","24","24","24","0.7051590055423732","0.7051590055423732","0.7051590055423732","24","24","24","0.5921893969123837","0.5921893969123837","0.5921893969123837","24","24","24","0.7381861128297184","0.7381861128297184","0.7381861128297184","24","24","24","0.7440754100927954","0.7440754100927954","0.7440754100927954","23","23","23","0.7404206777202642","0.7404206777202642","0.7404206777202642"
"24","25","25","25","0.6097181141934584","0.6097181141934584","0.6097181141934584","25","25","25","0.47845147565861257","0.47845147565861257","0.47845147565861257","25","25","25","0.6851469940452255","0.6851469940452255","0.6851469940452255","25","25","25","0.5318740502896682","0.5318740502896682","0.5318740502896682","25","25","25","0.7187420495667873","0.7187420495667873","0.7187420495667873","25","25","25","0.7312877680547902","0.7312877680547902","0.7312877680547902","24","24","24","0.750247550820661","0.750247550820661","0.750247550820661"
"25","26","26","26","0.6138107850668341","0.6138107850668341","0.6138107850668341","26","26","26","0.47897450704300704","0.47897450704300704","0.47897450704300704","26","26","26","0.7052853244300527","0.7052853244300527","0.7052853244300527","26","26","26","0.6018687155852914","0.6018687155852914","0.6018687155852914","26","26","26","0.7259789623091111","0.7259789623091111","0.7259789623091111","26","26","26","0.727983142229452","0.727983142229452","0.727983142229452","25","25","25","0.742289594942627","0.742289594942627","0.742289594942627"
"26","27","27","27","0.6206057063756132","0.6206057063756132","0.6206057063756132","27","27","27","0.478652272134721","0.478652272134721","0.478652272134721","27","27","27","0.6844223967160065","0.6844223967160065","0.6844223967160065","27","27","27","0.587727047834375","0.587727047834375","0.587727047834375","27","27","27","0.7325244588186323","0.7325244588186323","0.7325244588186323","27","27","27","0.7396539058220135","0.7396539058220135","0.7396539058220135","26","26","26","0.7352169530015038","0.7352169530015038","0.7352169530015038"
"27","28","28","28","0.5664032910760887","0.5664032910760887","0.5664032910760887","28","28","28","0.4783655652310911","0.4783655652310911","0.4783655652310911","28","28","28","0.7031950490305234","0.7031950490305234","0.7031950490305234","28","28","28","0.582531406494793","0.582531406494793","0.582531406494793","28","28","28","0.7313054682138439","0.7313054682138439","0.7313054682138439","28","28","28","0.728006157477893","0.728006157477893","0.728006157477893","27","27","27","0.7368825787989358","0.7368825787989358","0.7368825787989358"
"28","29","29","29","0.5759409978456169","0.5759409978456169","0.5759409978456169","29","29","29","0.47893062443358847","0.47893062443358847","0.47893062443358847","29","29","29","0.7204398869506217","0.7204398869506217","0.7204398869506217","29","29","29","0.5846823808418484","0.5846823808418484","0.5846823808418484","29","29","29","0.7345517343856758","0.7345517343856758","0.7345517343856758","29","29","29","0.7350649689220835","0.7350649689220835","0.7350649689220835","28","28","28","0.7291458486397862","0.7291458486397862","0.7291458486397862"
"29","30","30","30","0.5936559195281487","0.5936559195281487","0.5936559195281487","30","30","30","0.47841053502029907","0.47841053502029907","0.47841053502029907","30","30","30","0.7063298002655596","0.7063298002655596","0.7063298002655596","30","30","30","0.5796676574288115","0.5796676574288115","0.5796676574288115","30","30","30","0.7398530172746755","0.7398530172746755","0.7398530172746755","30","30","30","0.7426967588561039","0.7426967588561039","0.7426967588561039","29","29","29","0.748636589635895","0.748636589635895","0.748636589635895"
"30","31","31","31","0.5964782703296837","0.5964782703296837","0.5964782703296837","31","31","31","0.47847858010299493","0.47847858010299493","0.47847858010299493","31","31","31","0.7087494181052523","0.7087494181052523","0.7087494181052523","31","31","31","0.5896437739148819","0.5896437739148819","0.5896437739148819","31","31","31","0.7008489172539216","0.7008489172539216","0.7008489172539216","31","31","31","0.7271613781385557","0.7271613781385557","0.7271613781385557","30","30","30","0.7405642239442213","0.7405642239442213","0.7405642239442213"
