"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"78","2.025566577911377","2.025566577911377","2.025566577911377","2.1578102111816406","2.1578102111816406","2.1578102111816406"
"79","2.0254318714141846","2.0254318714141846","2.0254318714141846","2.1707987785339355","2.1707987785339355","2.1707987785339355"
"80","2.0321879386901855","2.0321879386901855","2.0321879386901855","2.1618030071258545","2.1618030071258545","2.1618030071258545"
"81","2.0312747955322266","2.0312747955322266","2.0312747955322266","2.1557185649871826","2.1557185649871826","2.1557185649871826"
"82","2.030008554458618","2.030008554458618","2.030008554458618","2.172959566116333","2.172959566116333","2.172959566116333"
"83","2.0238873958587646","2.0238873958587646","2.0238873958587646","2.1604928970336914","2.1604928970336914","2.1604928970336914"
"84","2.029759168624878","2.029759168624878","2.029759168624878","2.160107135772705","2.160107135772705","2.160107135772705"
"85","2.024308443069458","2.024308443069458","2.024308443069458","2.1679399013519287","2.1679399013519287","2.1679399013519287"
"86","2.02433443069458","2.02433443069458","2.02433443069458","2.173387289047241","2.173387289047241","2.173387289047241"
"87","2.0264053344726562","2.0264053344726562","2.0264053344726562","2.1590771675109863","2.1590771675109863","2.1590771675109863"
"88","2.0275375843048096","2.0275375843048096","2.0275375843048096","2.166438341140747","2.166438341140747","2.166438341140747"
"89","2.0285677909851074","2.0285677909851074","2.0285677909851074","2.1680901050567627","2.1680901050567627","2.1680901050567627"
"90","2.0275766849517822","2.0275766849517822","2.0275766849517822","2.1646673679351807","2.1646673679351807","2.1646673679351807"
"91","2.02665376663208","2.02665376663208","2.02665376663208","2.1669270992279053","2.1669270992279053","2.1669270992279053"
"92","2.0243239402770996","2.0243239402770996","2.0243239402770996","2.167454481124878","2.167454481124878","2.167454481124878"
"93","2.0250933170318604","2.0250933170318604","2.0250933170318604","2.166837453842163","2.166837453842163","2.166837453842163"
