"epoch","transformer-2-no-w-nan - _step","transformer-2-no-w-nan - _step__MIN","transformer-2-no-w-nan - _step__MAX","transformer-2-no-w-nan - val/auc_w/ttH","transformer-2-no-w-nan - val/auc_w/ttH__MIN","transformer-2-no-w-nan - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"54","55","55","55","0.7229962504191587","0.7229962504191587","0.7229962504191587","54","54","54","0.7488508691520166","0.7488508691520166","0.7488508691520166"
"55","56","56","56","0.7211176114904752","0.7211176114904752","0.7211176114904752","55","55","55","0.7386915665266283","0.7386915665266283","0.7386915665266283"
"56","57","57","57","0.7240033032977456","0.7240033032977456","0.7240033032977456","56","56","56","0.7419235941248163","0.7419235941248163","0.7419235941248163"
"57","58","58","58","0.7270644545060362","0.7270644545060362","0.7270644545060362","57","57","57","0.7390609603046766","0.7390609603046766","0.7390609603046766"
"58","59","59","59","0.7142138625934378","0.7142138625934378","0.7142138625934378","58","58","58","0.732216036335264","0.732216036335264","0.732216036335264"
"59","60","60","60","0.722042087425895","0.722042087425895","0.722042087425895","59","59","59","0.7284516451381727","0.7284516451381727","0.7284516451381727"
"60","61","61","61","0.7217033828026823","0.7217033828026823","0.7217033828026823","60","60","60","0.7304869774412851","0.7304869774412851","0.7304869774412851"
"61","62","62","62","0.7046607929064341","0.7046607929064341","0.7046607929064341","61","61","61","0.7257923746999879","0.7257923746999879","0.7257923746999879"
"62","63","63","63","0.7144431996333076","0.7144431996333076","0.7144431996333076","62","62","62","0.75050124417188","0.75050124417188","0.75050124417188"
"63","64","64","64","0.7247812536059615","0.7247812536059615","0.7247812536059615","63","63","63","0.7273762512467483","0.7273762512467483","0.7273762512467483"
"64","65","65","65","0.7003876816771181","0.7003876816771181","0.7003876816771181","64","64","64","0.7260417222601346","0.7260417222601346","0.7260417222601346"
"65","66","66","66","0.6952696442951276","0.6952696442951276","0.6952696442951276","65","65","65","0.7378841642344497","0.7378841642344497","0.7378841642344497"
"66","67","67","67","0.7056326820555161","0.7056326820555161","0.7056326820555161","66","66","66","0.7213612475409974","0.7213612475409974","0.7213612475409974"
"67","68","68","68","0.6978396059088809","0.6978396059088809","0.6978396059088809","67","67","67","0.7337564518005711","0.7337564518005711","0.7337564518005711"
"68","69","69","69","0.6960305494900232","0.6960305494900232","0.6960305494900232","68","68","68","0.7128640648219808","0.7128640648219808","0.7128640648219808"
"69","70","70","70","0.6998717619942046","0.6998717619942046","0.6998717619942046","69","69","69","0.7213891953159179","0.7213891953159179","0.7213891953159179"
"70","71","71","71","0.6910916231849682","0.6910916231849682","0.6910916231849682","70","70","70","0.7159786235279165","0.7159786235279165","0.7159786235279165"
"71","72","72","72","0.6982035621417453","0.6982035621417453","0.6982035621417453","71","71","71","0.71239495613521","0.71239495613521","0.71239495613521"
"72","73","73","73","0.6865691828861378","0.6865691828861378","0.6865691828861378","72","72","72","0.722690743761817","0.722690743761817","0.722690743761817"
"73","74","74","74","0.7126080979057235","0.7126080979057235","0.7126080979057235","73","73","73","0.7121824253476371","0.7121824253476371","0.7121824253476371"
"74","75","75","75","0.6938402075811382","0.6938402075811382","0.6938402075811382","74","74","74","0.697627212597273","0.697627212597273","0.697627212597273"
"75","76","76","76","0.6909439695700936","0.6909439695700936","0.6909439695700936","75","75","75","0.6919390769817941","0.6919390769817941","0.6919390769817941"
"76","77","77","77","0.6966127504662771","0.6966127504662771","0.6966127504662771","76","76","76","0.712910469232586","0.712910469232586","0.712910469232586"
"77","78","78","78","0.6973623775419924","0.6973623775419924","0.6973623775419924","77","77","77","0.7027458354524116","0.7027458354524116","0.7027458354524116"
"78","79","79","79","0.6910020797915567","0.6910020797915567","0.6910020797915567","78","78","78","0.6982782223279764","0.6982782223279764","0.6982782223279764"
"79","80","80","80","0.6845217986527475","0.6845217986527475","0.6845217986527475","79","79","79","0.6982089351256568","0.6982089351256568","0.6982089351256568"
"80","81","81","81","0.6969255154396359","0.6969255154396359","0.6969255154396359","80","80","80","0.7138699911455761","0.7138699911455761","0.7138699911455761"
"81","82","82","82","0.6957435754604167","0.6957435754604167","0.6957435754604167","81","81","81","0.7046168662162627","0.7046168662162627","0.7046168662162627"
"82","83","83","83","0.6917798684289139","0.6917798684289139","0.6917798684289139","82","82","82","0.702700949340186","0.702700949340186","0.702700949340186"
"83","84","84","84","0.6912956876619445","0.6912956876619445","0.6912956876619445","83","83","83","0.693622992926995","0.693622992926995","0.693622992926995"
"84","85","85","85","0.6935429747887829","0.6935429747887829","0.6935429747887829","84","84","84","0.688198292929364","0.688198292929364","0.688198292929364"
"85","86","86","86","0.6871732701186619","0.6871732701186619","0.6871732701186619","85","85","85","0.6972357822249208","0.6972357822249208","0.6972357822249208"
"86","87","87","87","0.6964765883739907","0.6964765883739907","0.6964765883739907","86","86","86","0.6994367313318339","0.6994367313318339","0.6994367313318339"
"87","88","88","88","0.6902019167423126","0.6902019167423126","0.6902019167423126","87","87","87","0.7006296991222942","0.7006296991222942","0.7006296991222942"
"88","89","89","89","0.6881391702337333","0.6881391702337333","0.6881391702337333","88","88","88","0.7013302262624973","0.7013302262624973","0.7013302262624973"
"89","90","90","90","0.6958956955057842","0.6958956955057842","0.6958956955057842","89","89","89","0.6986990337619907","0.6986990337619907","0.6986990337619907"
