"epoch","transformer-5-100-data-5000-batch-20-drop - _step","transformer-5-100-data-5000-batch-20-drop - _step__MIN","transformer-5-100-data-5000-batch-20-drop - _step__MAX","transformer-5-100-data-5000-batch-20-drop - val/loss","transformer-5-100-data-5000-batch-20-drop - val/loss__MIN","transformer-5-100-data-5000-batch-20-drop - val/loss__MAX","transformer-5-100-data-5000-batch-20-drop - trn/loss","transformer-5-100-data-5000-batch-20-drop - trn/loss__MIN","transformer-5-100-data-5000-batch-20-drop - trn/loss__MAX"
"76","76","76","76","0.8074870109558105","0.8074870109558105","0.8074870109558105","0.45334774255752563","0.45334774255752563","0.45334774255752563"
"77","77","77","77","0.8218355774879456","0.8218355774879456","0.8218355774879456","0.4510951340198517","0.4510951340198517","0.4510951340198517"
"78","78","78","78","0.8077162504196167","0.8077162504196167","0.8077162504196167","0.45812395215034485","0.45812395215034485","0.45812395215034485"
"79","79","79","79","0.8191748857498169","0.8191748857498169","0.8191748857498169","0.4505792558193207","0.4505792558193207","0.4505792558193207"
"80","80","80","80","0.823517918586731","0.823517918586731","0.823517918586731","0.45728975534439087","0.45728975534439087","0.45728975534439087"
"81","81","81","81","0.8185423016548157","0.8185423016548157","0.8185423016548157","0.4576027989387512","0.4576027989387512","0.4576027989387512"
"82","82","82","82","0.8345119953155518","0.8345119953155518","0.8345119953155518","0.44794028997421265","0.44794028997421265","0.44794028997421265"
"83","83","83","83","0.8133134841918945","0.8133134841918945","0.8133134841918945","0.4511543810367584","0.4511543810367584","0.4511543810367584"
"84","84","84","84","0.8268344402313232","0.8268344402313232","0.8268344402313232","0.44757285714149475","0.44757285714149475","0.44757285714149475"
"85","85","85","85","0.8242814540863037","0.8242814540863037","0.8242814540863037","0.44734928011894226","0.44734928011894226","0.44734928011894226"
"86","86","86","86","0.8163112998008728","0.8163112998008728","0.8163112998008728","0.44661659002304077","0.44661659002304077","0.44661659002304077"
"87","87","87","87","0.8198748826980591","0.8198748826980591","0.8198748826980591","0.4445745646953583","0.4445745646953583","0.4445745646953583"
"88","88","88","88","0.8199331760406494","0.8199331760406494","0.8199331760406494","0.44476088881492615","0.44476088881492615","0.44476088881492615"
"89","89","89","89","0.830902636051178","0.830902636051178","0.830902636051178","0.4489849805831909","0.4489849805831909","0.4489849805831909"
"90","90","90","90","0.8295726776123047","0.8295726776123047","0.8295726776123047","0.45280563831329346","0.45280563831329346","0.45280563831329346"
"91","91","91","91","0.8245123028755188","0.8245123028755188","0.8245123028755188","0.4436357617378235","0.4436357617378235","0.4436357617378235"
"92","92","92","92","0.8261452913284302","0.8261452913284302","0.8261452913284302","0.4476296901702881","0.4476296901702881","0.4476296901702881"
"93","93","93","93","0.8351733684539795","0.8351733684539795","0.8351733684539795","0.4496888518333435","0.4496888518333435","0.4496888518333435"
"94","94","94","94","0.835963249206543","0.835963249206543","0.835963249206543","0.4432363212108612","0.4432363212108612","0.4432363212108612"
"95","95","95","95","0.8322534561157227","0.8322534561157227","0.8322534561157227","0.4464508295059204","0.4464508295059204","0.4464508295059204"
"96","96","96","96","0.8434330821037292","0.8434330821037292","0.8434330821037292","0.4433572292327881","0.4433572292327881","0.4433572292327881"
"97","97","97","97","0.8331969976425171","0.8331969976425171","0.8331969976425171","0.4463595151901245","0.4463595151901245","0.4463595151901245"
"98","98","98","98","0.8245240449905396","0.8245240449905396","0.8245240449905396","0.45560187101364136","0.45560187101364136","0.45560187101364136"
"99","99","99","99","0.8222382068634033","0.8222382068634033","0.8222382068634033","0.44044026732444763","0.44044026732444763","0.44044026732444763"
"100","100","100","100","0.8321098685264587","0.8321098685264587","0.8321098685264587","0.4406036138534546","0.4406036138534546","0.4406036138534546"
