"Step","transformer-2-100-data-5000-batch - sig/significance","transformer-2-100-data-5000-batch - sig/significance__MIN","transformer-2-100-data-5000-batch - sig/significance__MAX","transformer-2-50-data - sig/significance","transformer-2-50-data - sig/significance__MIN","transformer-2-50-data - sig/significance__MAX","transformer-2-10-data - sig/significance","transformer-2-10-data - sig/significance__MIN","transformer-2-10-data - sig/significance__MAX","transformer-2-5-data - sig/significance","transformer-2-5-data - sig/significance__MIN","transformer-2-5-data - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"66","2.5087320804595947","2.5087320804595947","2.5087320804595947","2.49908185005188","2.49908185005188","2.49908185005188","2.3769333362579346","2.3769333362579346","2.3769333362579346","2.343569755554199","2.343569755554199","2.343569755554199","2.320502758026123","2.320502758026123","2.320502758026123"
"67","2.5014452934265137","2.5014452934265137","2.5014452934265137","2.5041391849517822","2.5041391849517822","2.5041391849517822","2.3984758853912354","2.3984758853912354","2.3984758853912354","2.3769354820251465","2.3769354820251465","2.3769354820251465","2.3120980262756348","2.3120980262756348","2.3120980262756348"
"68","2.4948651790618896","2.4948651790618896","2.4948651790618896","2.510322332382202","2.510322332382202","2.510322332382202","2.368242025375366","2.368242025375366","2.368242025375366","2.3443148136138916","2.3443148136138916","2.3443148136138916","2.2678046226501465","2.2678046226501465","2.2678046226501465"
"69","2.5008602142333984","2.5008602142333984","2.5008602142333984","2.4899609088897705","2.4899609088897705","2.4899609088897705","2.3905553817749023","2.3905553817749023","2.3905553817749023","2.3702189922332764","2.3702189922332764","2.3702189922332764","2.265608787536621","2.265608787536621","2.265608787536621"
"70","2.507842540740967","2.507842540740967","2.507842540740967","2.51759672164917","2.51759672164917","2.51759672164917","2.3452885150909424","2.3452885150909424","2.3452885150909424","2.3314247131347656","2.3314247131347656","2.3314247131347656","2.2536494731903076","2.2536494731903076","2.2536494731903076"
"71","2.499450206756592","2.499450206756592","2.499450206756592","2.4929535388946533","2.4929535388946533","2.4929535388946533","2.3666980266571045","2.3666980266571045","2.3666980266571045","2.3713583946228027","2.3713583946228027","2.3713583946228027","2.2573959827423096","2.2573959827423096","2.2573959827423096"
"72","2.494706630706787","2.494706630706787","2.494706630706787","2.491621255874634","2.491621255874634","2.491621255874634","2.354036331176758","2.354036331176758","2.354036331176758","2.379180431365967","2.379180431365967","2.379180431365967","2.294092893600464","2.294092893600464","2.294092893600464"
"73","2.493035316467285","2.493035316467285","2.493035316467285","2.495448112487793","2.495448112487793","2.495448112487793","2.3502001762390137","2.3502001762390137","2.3502001762390137","2.3406612873077393","2.3406612873077393","2.3406612873077393","2.273391008377075","2.273391008377075","2.273391008377075"
"74","2.5021162033081055","2.5021162033081055","2.5021162033081055","2.4784939289093018","2.4784939289093018","2.4784939289093018","2.3249220848083496","2.3249220848083496","2.3249220848083496","2.3543591499328613","2.3543591499328613","2.3543591499328613","2.246436357498169","2.246436357498169","2.246436357498169"
"75","2.4910247325897217","2.4910247325897217","2.4910247325897217","2.4707863330841064","2.4707863330841064","2.4707863330841064","2.334493637084961","2.334493637084961","2.334493637084961","2.3232696056365967","2.3232696056365967","2.3232696056365967","2.2453582286834717","2.2453582286834717","2.2453582286834717"
"76","2.4978199005126953","2.4978199005126953","2.4978199005126953","2.4952685832977295","2.4952685832977295","2.4952685832977295","2.3367209434509277","2.3367209434509277","2.3367209434509277","2.3111183643341064","2.3111183643341064","2.3111183643341064","2.2604496479034424","2.2604496479034424","2.2604496479034424"
"77","2.4953513145446777","2.4953513145446777","2.4953513145446777","2.4956517219543457","2.4956517219543457","2.4956517219543457","2.345015048980713","2.345015048980713","2.345015048980713","2.321340799331665","2.321340799331665","2.321340799331665","2.272205114364624","2.272205114364624","2.272205114364624"
"78","2.503511905670166","2.503511905670166","2.503511905670166","2.483592987060547","2.483592987060547","2.483592987060547","2.375908613204956","2.375908613204956","2.375908613204956","2.3285634517669678","2.3285634517669678","2.3285634517669678","2.2477147579193115","2.2477147579193115","2.2477147579193115"
"79","2.5091776847839355","2.5091776847839355","2.5091776847839355","2.4646856784820557","2.4646856784820557","2.4646856784820557","2.326472759246826","2.326472759246826","2.326472759246826","2.3422906398773193","2.3422906398773193","2.3422906398773193","2.2326536178588867","2.2326536178588867","2.2326536178588867"
"80","2.4983034133911133","2.4983034133911133","2.4983034133911133","2.470940113067627","2.470940113067627","2.470940113067627","2.3434388637542725","2.3434388637542725","2.3434388637542725","2.3034751415252686","2.3034751415252686","2.3034751415252686","2.31286883354187","2.31286883354187","2.31286883354187"
"81","2.4948599338531494","2.4948599338531494","2.4948599338531494","2.511822462081909","2.511822462081909","2.511822462081909","2.3515117168426514","2.3515117168426514","2.3515117168426514","2.23772931098938","2.23772931098938","2.23772931098938","2.2621402740478516","2.2621402740478516","2.2621402740478516"
"82","2.4917895793914795","2.4917895793914795","2.4917895793914795","2.4673168659210205","2.4673168659210205","2.4673168659210205","2.3520848751068115","2.3520848751068115","2.3520848751068115","2.25937557220459","2.25937557220459","2.25937557220459","2.279383420944214","2.279383420944214","2.279383420944214"
"83","2.4931278228759766","2.4931278228759766","2.4931278228759766","2.5043060779571533","2.5043060779571533","2.5043060779571533","2.3312361240386963","2.3312361240386963","2.3312361240386963","2.2632715702056885","2.2632715702056885","2.2632715702056885","2.2626352310180664","2.2626352310180664","2.2626352310180664"
"84","2.501386880874634","2.501386880874634","2.501386880874634","2.485968828201294","2.485968828201294","2.485968828201294","2.2917606830596924","2.2917606830596924","2.2917606830596924","2.3013007640838623","2.3013007640838623","2.3013007640838623","2.2381765842437744","2.2381765842437744","2.2381765842437744"
"85","2.476505756378174","2.476505756378174","2.476505756378174","2.4867637157440186","2.4867637157440186","2.4867637157440186","2.2836754322052","2.2836754322052","2.2836754322052","2.3142151832580566","2.3142151832580566","2.3142151832580566","2.254214286804199","2.254214286804199","2.254214286804199"
"86","2.5018627643585205","2.5018627643585205","2.5018627643585205","2.4683756828308105","2.4683756828308105","2.4683756828308105","2.301344871520996","2.301344871520996","2.301344871520996","2.298870325088501","2.298870325088501","2.298870325088501","2.258465528488159","2.258465528488159","2.258465528488159"
"87","2.486975908279419","2.486975908279419","2.486975908279419","2.474597454071045","2.474597454071045","2.474597454071045","2.3148396015167236","2.3148396015167236","2.3148396015167236","2.3071951866149902","2.3071951866149902","2.3071951866149902","2.2361655235290527","2.2361655235290527","2.2361655235290527"
"88","2.5023345947265625","2.5023345947265625","2.5023345947265625","2.4764180183410645","2.4764180183410645","2.4764180183410645","2.3273797035217285","2.3273797035217285","2.3273797035217285","2.316213846206665","2.316213846206665","2.316213846206665","2.2576940059661865","2.2576940059661865","2.2576940059661865"
