"Step","resnet-8 - sig/significance","resnet-8 - sig/significance__MIN","resnet-8 - sig/significance__MAX","resnet-8-embed-nan-w - sig/significance","resnet-8-embed-nan-w - sig/significance__MIN","resnet-8-embed-nan-w - sig/significance__MAX","resnet-8-embed - sig/significance","resnet-8-embed - sig/significance__MIN","resnet-8-embed - sig/significance__MAX","resnet-8-nan-w - sig/significance","resnet-8-nan-w - sig/significance__MIN","resnet-8-nan-w - sig/significance__MAX"
"21","2.2094316482543945","2.2094316482543945","2.2094316482543945","2.164996385574341","2.164996385574341","2.164996385574341","2.1936426162719727","2.1936426162719727","2.1936426162719727","2.215500593185425","2.215500593185425","2.215500593185425"
"22","2.2367422580718994","2.2367422580718994","2.2367422580718994","2.1770806312561035","2.1770806312561035","2.1770806312561035","2.2350921630859375","2.2350921630859375","2.2350921630859375","2.240122079849243","2.240122079849243","2.240122079849243"
"23","2.2116050720214844","2.2116050720214844","2.2116050720214844","2.1828668117523193","2.1828668117523193","2.1828668117523193","2.1743550300598145","2.1743550300598145","2.1743550300598145","2.1970105171203613","2.1970105171203613","2.1970105171203613"
"24","2.2460880279541016","2.2460880279541016","2.2460880279541016","2.1610119342803955","2.1610119342803955","2.1610119342803955","2.2415640354156494","2.2415640354156494","2.2415640354156494","2.2242777347564697","2.2242777347564697","2.2242777347564697"
"25","2.2255587577819824","2.2255587577819824","2.2255587577819824","2.1721351146698","2.1721351146698","2.1721351146698","2.227617025375366","2.227617025375366","2.227617025375366","2.2655348777770996","2.2655348777770996","2.2655348777770996"
"26","2.21695613861084","2.21695613861084","2.21695613861084","2.1675243377685547","2.1675243377685547","2.1675243377685547","2.236262559890747","2.236262559890747","2.236262559890747","2.2854764461517334","2.2854764461517334","2.2854764461517334"
"27","2.208930492401123","2.208930492401123","2.208930492401123","2.178023338317871","2.178023338317871","2.178023338317871","2.2290995121002197","2.2290995121002197","2.2290995121002197","2.2364299297332764","2.2364299297332764","2.2364299297332764"
"28","2.2318406105041504","2.2318406105041504","2.2318406105041504","2.153775691986084","2.153775691986084","2.153775691986084","2.220947742462158","2.220947742462158","2.220947742462158","2.2642393112182617","2.2642393112182617","2.2642393112182617"
"29","2.2137324810028076","2.2137324810028076","2.2137324810028076","2.163760185241699","2.163760185241699","2.163760185241699","2.2218503952026367","2.2218503952026367","2.2218503952026367","2.1999781131744385","2.1999781131744385","2.1999781131744385"
"30","2.1926231384277344","2.1926231384277344","2.1926231384277344","2.1706533432006836","2.1706533432006836","2.1706533432006836","2.2472801208496094","2.2472801208496094","2.2472801208496094","2.259305477142334","2.259305477142334","2.259305477142334"
